id,date,sale,city
879,2024-06-10,5351,Tegucigalpa
880,2024-06-30,3371,Omsk
881,2024-06-09,4406,Saint-Pierre
882,2024-06-25,4081,Djibouti (city)
883,2024-06-15,8206,Santo Domingo
884,2024-06-01,5349,Muscat
885,2024-06-28,5117,Lahore
886,2024-06-12,4385,Belém
887,2024-06-20,7735,Chengdu
888,2024-06-04,2312,Nakhon Ratchasima
889,2024-04-25,9476,Kandy
890,2024-04-08,7856,Hagåtña
891,2024-01-30,5974,Cincinnati
892,2024-03-15,4950,Montreal
893,2024-05-09,6164,Samara
894,2024-05-21,3344,Tartu
895,2024-04-15,8088,Port Blair
896,2024-03-24,8548,Bissau
897,2024-01-22,6264,Omdurman
898,2024-03-18,3387,Asunción
899,2024-04-20,7710,Valletta
900,2024-03-08,5614,Quetzaltenango
901,2024-05-17,5542,Luxor
902,2024-05-14,5628,Split (city)
903,2024-03-04,9689,Nakhon Ratchasima
904,2024-04-02,9395,Strasbourg
905,2024-03-16,7397,Yakutsk
906,2024-05-19,8478,Faisalabad
907,2024-03-28,6483,Munich
908,2024-01-08,8170,Guatemala City
909,2024-01-19,6053,Greenwich
910,2024-05-20,8800,Wuhan
911,2024-01-25,9601,Monaco
912,2024-03-12,5085,Belfast
913,2024-04-21,5187,Vaduz
914,2024-01-17,8187,Djibouti (city)
915,2024-02-15,5004,Padang
916,2024-01-14,8049,Saint-Pierre
917,2024-02-27,7687,Baghdad
918,2024-01-10,2833,Wonsan
919,2024-01-13,2954,Medina
920,2024-05-09,9393,Chicago
921,2024-03-07,4930,Stepanakert
922,2024-02-01,7116,Saint John
923,2024-03-11,7820,Makassar
924,2024-01-18,3775,Ulan Bator
925,2024-04-26,8815,Malang
926,2024-05-29,8907,Kobe
927,2024-04-01,3471,Toulouse
928,2024-01-02,2674,Innsbruck
929,2024-03-01,9671,Chongqing
930,2024-06-04,2865,Naples
931,2024-01-11,3401,Medina
932,2024-06-12,3549,Munich
933,2024-02-26,5301,Prague
934,2024-06-09,7299,Brussels
935,2024-04-25,9824,Nukus
936,2024-02-07,3282,San Fernando
937,2024-04-04,4249,Port Moresby
938,2024-04-15,4574,Ponta Delgada
939,2024-02-24,6097,Iquitos
940,2024-05-08,5823,Cebu City
941,2024-01-07,9153,Nakhon Ratchasima
942,2024-03-10,3367,Ouagadougou
943,2024-01-21,6457,Louisville
944,2024-03-30,8802,Las Palmas de Gran Canaria
945,2024-03-02,8694,Madrid
946,2024-04-19,5804,Valencia
947,2024-02-17,3706,Chengdu
948,2024-01-29,7055,Ankara
949,2024-05-05,5750,Sarajevo
950,2024-06-21,8303,Valletta
951,2024-02-05,3431,Agartala
952,2024-04-03,5361,Abuja
953,2024-01-24,5560,Oslo
954,2024-01-20,2983,Yaoundé
955,2024-06-20,8229,Port of Spain
956,2024-04-22,3189,Tampere
957,2024-02-13,8953,Funafuti
958,2024-01-21,7506,Nanjing
959,2024-06-05,2814,Norilsk
960,2024-03-19,3303,Manchester
961,2024-02-13,3237,Astana
962,2024-05-10,4572,Suez
963,2024-04-04,2323,Lilongwe
964,2024-02-24,8032,Denver
965,2024-06-01,3704,Punta Arenas
966,2024-01-15,2856,Liverpool
967,2024-01-26,2163,Durango
968,2024-03-07,2228,Namangan
969,2024-01-28,9612,Mata-Utu
970,2024-02-10,9452,Harare
971,2024-04-20,2851,Rabat
972,2024-04-24,4640,Jerusalem
973,2024-03-09,9524,Whitehorse
974,2024-06-21,7383,Tbilisi
975,2024-01-05,8738,Freetown
976,2024-04-17,7913,Dili
977,2024-06-14,9789,Chengdu
978,2024-01-02,9861,Mumbai
979,2024-04-25,3000,Sarajevo
980,2024-04-08,2038,Iqaluit
981,2024-01-30,5932,Simferopol
982,2024-03-15,9519,Bandar Seri Begawan
983,2024-05-09,7364,Nicosia
984,2024-02-01,8659,Yellowknife
985,2024-01-23,3167,Rosario
986,2024-05-19,9846,İzmir
987,2024-06-06,2194,New York City
988,2024-02-17,2193,Kiev
989,2024-03-16,5890,Boa Vista
990,2024-05-18,3067,Dushanbe
991,2024-06-18,4118,Ibiza
992,2024-04-28,2366,São José dos Campos
993,2024-02-07,5597,Ljubljana
994,2024-05-22,7467,Port Moresby
995,2024-05-21,6286,Alexandria
996,2024-04-15,9042,Kota Bharu
997,2024-03-24,7715,Port Said
998,2024-01-22,7803,Hamburg
999,2024-03-18,6587,Abu Dhabi
1000,2024-04-20,2423,Lanzhou
1001,2024-01-17,4487,Chişinău
1002,2024-06-24,6094,Malmö
1003,2024-03-08,2939,Yerevan
1004,2024-01-14,2398,Reykjavík
1005,2024-03-10,6776,Srinagar
1006,2024-01-19,5793,Innsbruck
1007,2024-03-06,4748,Pretoria
1008,2024-02-12,4016,Port Blair
1009,2024-05-25,2774,Roseau
1010,2024-04-24,3143,Zhengzhou
1011,2024-05-29,5611,Dalian
1012,2024-03-19,3767,The Hague
1013,2024-04-16,8730,Pago Pago
1014,2024-02-09,7467,Khartoum
1015,2024-02-19,8403,Seoul
1016,2024-02-11,9474,Chaguanas
1017,2024-03-26,7798,Monrovia
1018,2024-03-14,3987,Managua
1019,2024-04-27,6475,Pretoria
1020,2024-05-02,9128,Guangzhou
1021,2024-04-30,4459,Siem Reap
1022,2024-05-10,3059,Maceió
1023,2024-06-06,8640,Santo Domingo
1024,2024-06-13,8309,Blantyre
1025,2024-06-27,2672,Lhasa
1026,2024-06-10,7808,Nouméa
1027,2024-06-30,4233,Cologne
1028,2024-06-09,3807,Jeddah
1029,2024-06-25,9975,London
1030,2024-06-15,8374,Apia
1031,2024-06-01,6642,Perth
1032,2024-06-28,5114,Muscat
1033,2024-06-12,2477,Nuuk
1034,2024-06-20,4140,Cebu City
1035,2024-06-04,9356,San Salvador
1036,2024-04-24,9857,Nantes
1037,2024-03-09,4568,Copenhagen
1038,2024-05-03,9994,Mashhad
1039,2024-03-30,6727,Stepanakert
1040,2024-04-29,4729,Yokohama
1041,2024-01-04,9092,Jersey City
1042,2024-06-12,4592,Boa Vista
1043,2024-03-14,9380,Vientiane
1044,2024-03-27,6616,Mecca
1045,2024-01-24,2420,Mendoza
1046,2024-04-10,7427,Davao City
1047,2024-06-15,9270,Wellington
1048,2024-05-14,6257,Tokyo
1049,2024-03-05,5073,Bahía Blanca
1050,2024-02-18,9152,Cali
1051,2024-06-22,9197,Linz
1052,2024-01-16,4242,Miri
1053,2024-02-11,4451,Cairo
1054,2024-05-04,4600,San Carlos de Bariloche
1055,2024-02-19,4584,Ipoh
1056,2024-05-17,8336,Dresden
1057,2024-03-26,8975,Innsbruck
1058,2024-04-20,9564,Juneau
1059,2024-04-24,8335,Edinburgh
1060,2024-03-09,3977,Malacca Town
1061,2024-02-25,5482,Sana'a
1062,2024-02-23,5595,Nouméa
1063,2024-06-06,6282,Tirana
1064,2024-06-13,3236,Tegucigalpa
1065,2024-06-27,4163,Tallinn
1066,2024-06-10,9577,Jinan
1067,2024-06-30,9040,Sucre
1068,2024-06-09,8793,Lucknow
1069,2024-06-25,5651,Mata-Utu
1070,2024-06-15,6789,Bucharest
1071,2024-06-01,2933,George Town
1072,2024-06-28,5513,New Delhi
1073,2024-06-12,9185,Suva
1074,2024-06-20,4313,Tucson
1075,2024-06-04,9515,Maseru
1076,2024-03-11,3067,Yaren District
1077,2024-04-18,9647,Roseau
1078,2024-06-25,9367,Marrakech
1079,2024-03-28,9446,Alofi
1080,2024-06-27,7226,Pago Pago
1081,2024-05-20,4459,Denver
1082,2024-03-22,3201,Ottawa
1083,2024-03-23,6752,Asunción
1084,2024-06-07,8680,Sarajevo
1085,2024-02-16,3149,The Valley
1086,2024-03-12,7616,Kaohsiung
1087,2024-02-26,6359,Naypyidaw
1088,2024-06-28,6764,Jayapura
1089,2024-02-22,4948,Nukus
1090,2024-05-14,8724,Rockhampton
1091,2024-05-21,7437,Montevideo
1092,2024-04-15,9669,The Valley
1093,2024-03-24,6428,Magadan
1094,2024-01-22,5571,Shigatse
1095,2024-03-18,4664,Balikpapan
1096,2024-04-20,8602,Nuuk
1097,2024-04-19,3564,Port Louis
1098,2024-01-10,3720,Jamestown
1099,2024-01-27,3858,Vienna
